SYMBOL	gs_name
IGHD	G1_Bcells
PAX5	G1_Bcells
FCRL1	G1_Bcells
CR2	G1_Bcells
VPREB3	G1_Bcells
FCER2	G1_Bcells
CD19	G1_Bcells
EBF1	G1_Bcells
CD22	G1_Bcells
BANK1	G1_Bcells
CLEC17A	G1_Bcells
FCRLA	G1_Bcells
FCRL2	G1_Bcells
MS4A1	G1_Bcells
BLK	G1_Bcells
RALGPS2	G1_Bcells
TCL1A	G1_Bcells
TLR10	G1_Bcells
FAM129C	G1_Bcells
CNR2	G1_Bcells
ARHGAP24	G1_Bcells
KIAA0125	G1_Bcells
HLA-DOB	G1_Bcells
IGHM	G1_Bcells
KIAA0226L	G1_Bcells
CD79A	G1_Bcells
BCL11A	G1_Bcells
STAP1	G1_Bcells
IGLC3	G1_Bcells
PKIG	G1_Bcells
FCRL5	G1_Bcells
AFF3	G1_Bcells
COBLL1	G1_Bcells
SPIB	G1_Bcells
SWAP70	G1_Bcells
IGLL5	G1_Bcells
ADAM28	G1_Bcells
BLNK	G1_Bcells
IGLC2	G1_Bcells
IGKC	G1_Bcells
IGHG3	G1_Bcells
WDFY4	G1_Bcells
MEF2C	G1_Bcells
IGHG2	G1_Bcells
CCR6	G1_Bcells
IGLC1	G1_Bcells
SMIM14	G1_Bcells
POU2AF1	G1_Bcells
CD79B	G1_Bcells
CD40	G1_Bcells
HVCN1	G1_Bcells
TCF4	G1_Bcells
BTK	G1_Bcells
RASGRP3	G1_Bcells
CXCR5	G1_Bcells
IGHG1	G1_Bcells
PDLIM1	G1_Bcells
PHACTR1	G1_Bcells
NCF1	G1_Bcells
FGD2	G1_Bcells
SIGLEC14	G1_Bcells
HLA-DOA	G1_Bcells
MICAL3	G1_Bcells
RABEP2	G1_Bcells
LY86	G1_Bcells
IRF8	G1_Bcells
EAF2	G1_Bcells
CD72	G1_Bcells
SYK	G1_Bcells
MGAT5	G1_Bcells
CD83	G1_Bcells
PLCG2	G1_Bcells
ALOX5	G1_Bcells
DOK3	G1_Bcells
CIITA	G1_Bcells
CDCA7L	G1_Bcells
PIK3C2B	G1_Bcells
LAT2	G1_Bcells
TPD52	G1_Bcells
P2RX5	G1_Bcells
AKAP2	G1_Bcells
CYBB	G1_Bcells
SNX29	G1_Bcells
RAB30	G1_Bcells
STX7	G1_Bcells
POU2F2	G1_Bcells
FCGR2B	G1_Bcells
HLA-DMB	G1_Bcells
LY9	G1_Bcells
GPR18	G1_Bcells
HLA-DQB2	G1_Bcells
ORAI2	G1_Bcells
CHD7	G1_Bcells
CYB561A3	G1_Bcells
IFT57	G1_Bcells
HLA-DQA2	G1_Bcells
CTSH	G1_Bcells
FCHSD2	G1_Bcells
PIK3AP1	G1_Bcells
PLEKHF2	G1_Bcells
HLA-DQA1	G1_Bcells
TMEM156	G1_Bcells
SNX2	G1_Bcells
FAM65A	G1_Bcells
TMEM154	G1_Bcells
CCR7	G1_Bcells
IFNGR2	G1_Bcells
PXK	G1_Bcells
SELL	G1_Bcells
PLAC8	G1_Bcells
SYPL1	G1_Bcells
TSPAN3	G1_Bcells
HLA-DQB1	G1_Bcells
DRAM2	G1_Bcells
DGKD	G1_Bcells
HIP1R	G1_Bcells
HLA-DRA	G1_Bcells
ZCCHC7	G1_Bcells
DAPP1	G1_Bcells
KIAA0922	G1_Bcells
DENND3	G1_Bcells
SEL1L3	G1_Bcells
PARP15	G1_Bcells
ADAM19	G1_Bcells
BCAS4	G1_Bcells
KIAA1033	G1_Bcells
DMXL1	G1_Bcells
SPINT2	G1_Bcells
SKAP2	G1_Bcells
DNAJC10	G1_Bcells
ST6GAL1	G1_Bcells
PPAPDC1B	G1_Bcells
HLA-DMA	G1_Bcells
CD55	G1_Bcells
ITPR1	G1_Bcells
AP1B1	G1_Bcells
NUP88	G1_Bcells
UVRAG	G1_Bcells
C9orf72	G1_Bcells
SYVN1	G1_Bcells
NFKBID	G1_Bcells
GNB5	G1_Bcells
IFI30	G1_Bcells
LTB	G1_Bcells
IL4R	G1_Bcells
ARHGAP17	G1_Bcells
MBD4	G1_Bcells
HSH2D	G1_Bcells
FAIM3	G1_Bcells
FAM65B	G1_Bcells
NCOA3	G1_Bcells
S1PR1	G1_Bcells
CHMP7	G1_Bcells
KIAA0430	G1_Bcells
SYNGR2	G1_Bcells
TMEM243	G1_Bcells
HLA-DPA1	G1_Bcells
HLA-DRB5	G1_Bcells
SIDT1	G1_Bcells
HLA-DPB1	G1_Bcells
HLA-DRB1	G1_Bcells
NGLY1	G1_Bcells
POLD4	G1_Bcells
DENND4A	G1_Bcells
CAMK2D	G1_Bcells
PRKCB	G1_Bcells
RASGEF1B	G1_Bcells
ATP2A3	G1_Bcells
PLEKHA2	G1_Bcells
WDR74	G1_Bcells
RCSD1	G1_Bcells
SLC44A2	G1_Bcells
RHBDF2	G1_Bcells
PRDM2	G1_Bcells
PPM1K	G1_Bcells
OSER1	G1_Bcells
FOXP1	G1_Bcells
CD37	G1_Bcells
PRPF40B	G1_Bcells
SGSM3	G1_Bcells
RB1	G1_Bcells
PARP14	G1_Bcells
FMNL3	G1_Bcells
STAT6	G1_Bcells
ID3	G1_Bcells
ALG13	G1_Bcells
GGA2	G1_Bcells
